"om","date","fips"
310045,2011-05-22,40041
310331,2011-05-22,40000
310331,2011-05-22,40041
296629,2011-05-22,29209
310331,2011-05-22,29119
310058,2011-05-22,40001
310271,2011-05-22,40041
293471,2011-05-23,42067
293512,2011-05-23,47161
293512,2011-05-23,47000
293512,2011-05-23,21047
315803,2011-05-24,40043
315827,2011-05-24,40015
315837,2011-05-24,40017
328740,2011-05-24,20185
315858,2011-05-24,40051
315869,2011-05-24,40051
315880,2011-05-24,40119
315890,2011-05-24,40125
310353,2011-05-24,40113
307405,2011-05-24,48121
310375,2011-05-24,40101
310396,2011-05-24,40145
312972,2011-05-24,40079
312994,2011-05-24,5047
308464,2011-05-24,5071
306767,2011-05-25,18111
313424,2011-05-25,29159
307045,2011-05-25,29035
307040,2011-05-25,17081
301431,2011-05-25,17153
317947,2011-05-25,18093
311375,2011-05-25,17033
307055,2011-05-25,18129
301473,2011-05-25,18125
306017,2011-05-25,5003
299822,2011-05-25,6007
294646,2011-05-25,18037
294665,2011-05-25,18117
295475,2011-05-25,1033
298933,2011-05-26,22103
317923,2011-05-30,38077
317927,2011-05-30,38017
318027,2011-05-30,38017
310359,2011-06-12,38037
332498,2011-06-19,29055
308544,2011-06-19,21027
326534,2011-06-20,20065
327296,2011-06-20,20137
327354,2011-06-20,20137
327315,2011-06-20,20137
326857,2011-06-20,31019
326861,2011-06-20,31019
326835,2011-06-20,31163
326862,2011-06-20,31081
326863,2011-06-20,31185
326864,2011-06-20,31143
308156,2011-06-22,21111
308169,2011-06-22,21111
323440,2011-06-01,25013
322007,2011-07-10,38047
333619,2011-07-10,38081
331480,2011-07-17,38045
333006,2011-07-01,27081
335692,2011-07-01,55031
314205,2011-07-04,38017
340623,2011-08-10,40097
335920,2011-08-11,31031
343871,2011-08-21,36117
335363,2011-08-23,55019
345347,2011-08-26,37177
349327,2011-09-14,4005
342875,2011-09-25,21107
413042,2012-10-17,28011
413060,2012-10-17,28125
412029,2012-10-17,28123
